,cycle,cpd01080,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00041,cpd00064,cpd00069,cpd00239,cpd00132,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00254,cpd00029,cpd00067,cpd00209,cpd00051,cpd15378,cpd00039,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd10515,cpd04383,cpd00066,cpd00141,cpd00226,cpd00084,cpd00129,cpd00106,cpd00013,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00322,cpd00047,cpd00107,cpd00131,cpd00060,cpd00235,cpd00054,cpd00082,cpd00119,cpd00048,cpd00065
27,67,0.065123864,5.411110758,2499.986994,1.87907437,2499.986994,2499.986995,1.846993578,8.440177035,7.23e-05,5.433986592,2503.879158,5.32928931,2499.987477,2499.987475,1.865399438,13.86456512,2584.064831,9.125872677,4.171273193,2499.986994,17.33361514,10041.21499,2.911343081,5.390227303,0.000211,4.546147943,2499.999519,66.87712475,3.514402871,2499.987475,2499.983666,2500,2499.964794,28.64009643,5.41975922,0.706038071,0.0,5.446432167,3.417606686,0.006082652,499978.5741,10.00133755,184.8304925,2502.378718,2499.986994,2.348083246,499997.1998,5.110106398,0.000188,4.910175244,2499.999519,0.317947833,0.000216,5.479710121,6.49e-06,5.407869008,2500.596083,5.43521401
28,68,0.064905367,5.56253032,2499.986547,1.920598325,2499.986547,2499.986548,1.814319529,8.764886826,7.54e-05,5.583171623,2503.989595,5.475442602,2499.987053,2499.987051,1.785033107,13.84966402,2586.696052,9.414678947,4.264035004,2499.986547,17.21627888,10042.57273,2.959211173,5.537257955,0.000222,4.641355766,2499.999497,66.87712475,3.550433907,2499.987051,2499.982965,2500,2499.963731,28.5244298,5.568257728,0.748850903,0.0,5.596225296,3.465639442,0.00632573,499977.8316,10.45813383,184.7692532,2502.485665,2499.986547,2.37817981,499997.1006,5.247702457,0.000188,5.040063515,2499.999497,0.311056546,0.000225,5.631129683,4.15e-06,5.556649685,2500.619034,5.585198275
29,69,0.064653041,5.712320719,2499.986102,1.959937454,2499.986102,2499.986103,1.780209285,9.091673306,7.87e-05,5.730686061,2504.097413,5.620013448,2499.986631,2499.986628,1.711931036,13.83659954,2589.321315,9.700766959,4.354563955,2499.986102,17.07963037,10043.91898,3.00619874,5.682575798,0.000234,4.733229164,2499.999474,66.87712475,3.581667249,2499.986628,2499.982258,2500,2499.96268,28.40987763,5.715074341,0.792167514,0.0,5.744359188,3.511189392,0.006569238,499977.0904,10.91677324,184.7060619,2502.593802,2499.986102,2.407147641,499997.0016,5.383533149,0.000187,5.168156693,2499.999474,0.3046487,0.000234,5.780920082,2.64e-06,5.703797871,2500.64256,5.733549722
30,70,0.064365849,5.860567664,2499.985658,1.99696673,2499.985658,2499.985659,1.744959699,9.420720027,8.23e-05,5.876613202,2504.202702,5.763086681,2499.98621,2499.986207,1.645366971,13.82521578,2591.942376,9.984222994,4.44294415,2499.985658,16.9256933,10045.2544,3.052224116,5.826261825,0.000246,4.821773853,2499.99945,66.87712475,3.608071134,2499.986207,2499.981544,2500,2499.96164,28.29638599,5.860291691,0.835980325,0.0,5.890917799,3.55432233,0.006813382,499976.3505,11.37705115,184.6409849,2502.703134,2499.985658,2.434955391,499996.9028,5.517734908,0.000187,5.294526206,2499.99945,0.298682502,0.000243,5.929167027,1.67e-06,5.849396942,2500.666683,5.880351702
31,71,0.064042741,6.007354543,2499.985214,2.031579639,2499.985214,2499.985215,1.708846033,9.752204729,8.62e-05,6.021033949,2504.305536,5.904744824,2499.985789,2499.985786,1.584684565,13.81536618,2594.560924,10.26513355,4.529254947,2499.985214,16.75628715,10046.57964,3.097147242,5.968394196,0.000257,4.906991255,2499.999427,66.87712475,3.629620373,2499.985786,2499.980821,2500,2499.96061,28.18390418,6.003989992,0.880283531,0.0,6.035982714,3.595099316,0.007046654,499975.6116,11.83877968,184.5740799,2502.813666,2499.985214,2.461648339,499996.804,5.650374614,0.000187,5.419240144,2499.999427,0.293123335,0.000254,6.075953906,1.06e-06,5.993527957,2500.69143,6.025685326
32,72,0.06371274,6.152762582,2499.98477,2.063623983,2499.98477,2499.984771,1.67212236,10.08630049,9.01e-05,6.164026962,2504.405985,6.045068274,2499.985369,2499.985366,1.529293122,13.80691801,2597.178454,10.54358636,4.613572602,2499.98477,16.57303372,10047.89538,3.140838241,6.109049324,0.000269,4.988879674,2499.999404,66.87658412,3.646295763,2499.985366,2499.980091,2500,2499.95959,28.07238532,6.146247198,0.92507292,0.0,6.179633298,3.633577015,0.007294248,499974.8737,12.3017876,184.5059315,2502.925404,2499.98477,2.487265999,499996.7052,5.781517579,0.000187,5.542365163,2499.999404,0.287942138,0.000264,6.221361945,6.65e-07,6.136269808,2500.716826,6.169629618
33,73,0.06337907,6.296870984,2499.984327,2.093047524,2499.984327,2499.984328,1.63502194,10.42317566,9.46e-05,6.305668796,2504.504115,6.184135396,2499.984949,2499.984946,1.478952682,13.7996133,2599.79638,10.81967089,4.695968455,2499.984327,16.37743619,10049.20091,3.18312795,6.248300609,0.000282,5.067457906,2499.999381,66.87542721,3.657388292,2499.984946,2499.979351,2500,2499.958579,27.96178614,6.287139128,0.970345761,0.0,6.321946828,3.669807811,0.007528276,499974.1365,12.76592029,184.4367891,2503.038351,2499.984327,2.512190511,499996.6064,5.911225718,0.000187,5.663963916,2499.999381,0.283114112,0.000276,6.365470346,4.17e-07,6.277699349,2500.742894,6.312261633
34,74,0.063041659,6.439757083,2499.983882,2.119749495,2499.983882,2499.983884,1.597757853,10.76299244,9.92e-05,6.446034038,2504.599979,6.322022738,2499.984528,2499.984525,1.43352075,13.79171798,2602.416057,11.09347298,4.776511975,2499.983882,16.17147803,10050.49512,3.223319871,6.386220353,0.000294,5.143017074,2499.999357,66.87363911,3.661996563,2499.984525,2499.978601,2500,2499.957576,27.85206748,6.426739609,1.016100626,0.0,6.462998647,3.703841832,0.007773966,499973.4,13.23103942,184.3683634,2503.152513,2499.983882,2.536889089,499996.5074,6.03956011,0.000187,5.784098726,2499.999357,0.278617965,0.000288,6.508356446,2.6e-07,6.417891499,2500.769665,6.453656549
35,75,0.06270046,6.581496506,2499.983438,2.143667338,2499.983438,2499.983439,1.560523575,11.10590603,0.000104,6.585195462,2504.693612,6.458805179,2499.984107,2499.984104,1.392450548,13.78325993,2605.038881,11.36507327,4.85526778,2499.983438,15.9564938,10051.77889,3.261380689,6.522877811,0.000306,5.215531535,2499.999334,66.87121277,3.660206084,2499.984104,2499.977841,2500,2499.956581,27.74319959,6.565120623,1.062337343,0.0,6.60286231,3.735728818,0.008001966,499972.664,13.69702274,184.300546,2503.267894,2499.983438,2.561323737,499996.4082,6.166578271,0.000187,5.902827678,2499.999334,0.274435098,0.000304,6.650095869,1.62e-07,6.556919422,2500.797183,6.593887797
36,76,0.06235543,6.722163184,2499.982992,2.164748438,2499.982992,2499.982993,1.523493695,11.4520658,0.00011,6.723224067,2504.785073,6.594555956,2499.983684,2499.983681,1.355263771,13.77426688,2607.66609,11.63455661,4.932299479,2499.982992,15.73362967,10053.05305,3.297277771,6.658341602,0.000319,5.284974581,2499.99931,66.86814194,3.652096902,2499.983681,2499.977069,2500,2499.955593,27.63515567,6.702352351,1.109056933,0.0,6.741609616,3.765514071,0.008245619,499971.9284,14.16376355,184.2332276,2503.384497,2499.982992,2.585461562,499996.3087,6.292337357,0.000187,6.020209188,2499.99931,0.270549122,0.00032,6.790762547,1.55e-07,6.694854574,2500.825464,6.733027172
