,cycle,species,biomass
319,61,Magnetospirillum_magneticum,3.660564157
320,61,Tepidimonas_charontis,1.608243506
321,61,Gudongella_oleilytica,2.705132233
322,61,Desulfomicrobium_baculatum,8.036859645
323,61,Parabacteroides_goldsteinii,13.84825382
324,61,Thermincola_ferriacetica,1.139472222
325,61,Dechloromonas_aromatica,0.877355246
326,61,Longilinea_sp.,0.932220002
327,61,Hydrogenophaga_aromaticivorans,3.699607512
328,61,Clostridium_fungisolvens,30.9211084
329,61,Geovibrio_thiophilus,25.53004564
330,62,Mariniplasma_anaerobium,1.047200693
331,62,Geobacter_metallireducens_strain_GS-15,0.523794112
332,62,Methanosarcina_acetivorans,1.245431009
333,62,Methanobacterium_formicicum,4.333173353
334,62,Magnetospirillum_magneticum,3.599734602
335,62,Tepidimonas_charontis,1.665440627
336,62,Gudongella_oleilytica,2.757732277
337,62,Desulfomicrobium_baculatum,8.054908461
338,62,Parabacteroides_goldsteinii,13.7456872
339,62,Thermincola_ferriacetica,1.124348439
340,62,Dechloromonas_aromatica,0.884546258
341,62,Longilinea_sp.,0.944540516
342,62,Hydrogenophaga_aromaticivorans,3.599526036
343,62,Clostridium_fungisolvens,31.12110812
344,62,Geovibrio_thiophilus,25.3528283
345,63,Mariniplasma_anaerobium,1.056515862
346,63,Geobacter_metallireducens_strain_GS-15,0.537114421
347,63,Methanosarcina_acetivorans,1.259604622
348,63,Methanobacterium_formicicum,4.407109789
349,63,Magnetospirillum_magneticum,3.540893456
350,63,Tepidimonas_charontis,1.72610968
351,63,Gudongella_oleilytica,2.812031738
352,63,Desulfomicrobium_baculatum,8.071308166
353,63,Parabacteroides_goldsteinii,13.64348074
354,63,Thermincola_ferriacetica,1.110419125
355,63,Dechloromonas_aromatica,0.891891816
356,63,Longilinea_sp.,0.958644062
357,63,Hydrogenophaga_aromaticivorans,3.503677395
358,63,Clostridium_fungisolvens,31.3096762
359,63,Geovibrio_thiophilus,25.17152293
360,64,Mariniplasma_anaerobium,1.067164528
361,64,Geobacter_metallireducens_strain_GS-15,0.55107009
362,64,Methanosarcina_acetivorans,1.273622074
363,64,Methanobacterium_formicicum,4.481244242
364,64,Magnetospirillum_magneticum,3.483967164
365,64,Tepidimonas_charontis,1.790452156
366,64,Gudongella_oleilytica,2.868081863
367,64,Desulfomicrobium_baculatum,8.086086914
368,64,Parabacteroides_goldsteinii,13.54170227
369,64,Thermincola_ferriacetica,1.09737712
370,64,Dechloromonas_aromatica,0.899395576
371,64,Longilinea_sp.,0.974319983
372,64,Hydrogenophaga_aromaticivorans,3.411798559
373,64,Clostridium_fungisolvens,31.48731415
374,64,Geovibrio_thiophilus,24.98640332
375,65,Mariniplasma_anaerobium,1.079196081
376,65,Geobacter_metallireducens_strain_GS-15,0.565681849
377,65,Methanosarcina_acetivorans,1.287453486
378,65,Methanobacterium_formicicum,4.555487103
379,65,Magnetospirillum_magneticum,3.428847733
380,65,Tepidimonas_charontis,1.858667633
381,65,Gudongella_oleilytica,2.925910755
382,65,Desulfomicrobium_baculatum,8.099238098
383,65,Parabacteroides_goldsteinii,13.44029032
384,65,Thermincola_ferriacetica,1.085172723
385,65,Dechloromonas_aromatica,0.907051911
386,65,Longilinea_sp.,0.991631259
387,65,Hydrogenophaga_aromaticivorans,3.323633809
388,65,Clostridium_fungisolvens,31.65422257
389,65,Geovibrio_thiophilus,24.79751466
390,66,Mariniplasma_anaerobium,1.092206856
391,66,Geobacter_metallireducens_strain_GS-15,0.58099613
392,66,Methanosarcina_acetivorans,1.30111431
393,66,Methanobacterium_formicicum,4.629907038
394,66,Magnetospirillum_magneticum,3.375567308
395,66,Tepidimonas_charontis,1.930255381
396,66,Gudongella_oleilytica,2.985140089
397,66,Desulfomicrobium_baculatum,8.110985353
398,66,Parabacteroides_goldsteinii,13.33847608
399,66,Thermincola_ferriacetica,1.07379642
400,66,Dechloromonas_aromatica,0.914889639
401,66,Longilinea_sp.,1.010188685
402,66,Hydrogenophaga_aromaticivorans,3.239065769
403,66,Clostridium_fungisolvens,31.81166602
404,66,Geovibrio_thiophilus,24.60574492
405,67,Mariniplasma_anaerobium,1.106097772
406,67,Geobacter_metallireducens_strain_GS-15,0.597050985
407,67,Methanosarcina_acetivorans,1.314591913
408,67,Methanobacterium_formicicum,4.704472399
409,67,Magnetospirillum_magneticum,3.324084396
410,67,Tepidimonas_charontis,2.005134473
411,67,Gudongella_oleilytica,3.045649537
412,67,Desulfomicrobium_baculatum,8.121410277
413,67,Parabacteroides_goldsteinii,13.23600718
414,67,Thermincola_ferriacetica,1.063217119
415,67,Dechloromonas_aromatica,0.922918167
416,67,Longilinea_sp.,1.029902202
417,67,Hydrogenophaga_aromaticivorans,3.157920287
418,67,Clostridium_fungisolvens,31.9601654
419,67,Geovibrio_thiophilus,24.4113779
420,68,Mariniplasma_anaerobium,1.12090323
421,68,Geobacter_metallireducens_strain_GS-15,0.613879314
422,68,Methanosarcina_acetivorans,1.327862281
423,68,Methanobacterium_formicicum,4.779108665
424,68,Magnetospirillum_magneticum,3.274321282
425,68,Tepidimonas_charontis,2.083425093
426,68,Gudongella_oleilytica,3.107435807
427,68,Desulfomicrobium_baculatum,8.130491469
428,68,Parabacteroides_goldsteinii,13.13285296
429,68,Thermincola_ferriacetica,1.053396601
430,68,Dechloromonas_aromatica,0.931137059
431,68,Longilinea_sp.,1.050816271
432,68,Hydrogenophaga_aromaticivorans,3.080003275
433,68,Clostridium_fungisolvens,32.09991325
434,68,Geovibrio_thiophilus,24.21445344
435,69,Mariniplasma_anaerobium,1.13665672
436,69,Geobacter_metallireducens_strain_GS-15,0.631514342
437,69,Methanosarcina_acetivorans,1.34090268
438,69,Methanobacterium_formicicum,4.853743085
439,69,Magnetospirillum_magneticum,3.226199262
440,69,Tepidimonas_charontis,2.165249439
441,69,Gudongella_oleilytica,3.170494415
442,69,Desulfomicrobium_baculatum,8.13820217
443,69,Parabacteroides_goldsteinii,13.02898501
444,69,Thermincola_ferriacetica,1.044299585
445,69,Dechloromonas_aromatica,0.939545011
446,69,Longilinea_sp.,1.072976485
447,69,Hydrogenophaga_aromaticivorans,3.005130899
448,69,Clostridium_fungisolvens,32.23108349
449,69,Geovibrio_thiophilus,24.0150174
450,70,Mariniplasma_anaerobium,1.153390889
451,70,Geobacter_metallireducens_strain_GS-15,0.649989556
452,70,Methanosarcina_acetivorans,1.353691548
453,70,Methanobacterium_formicicum,4.928304311
454,70,Magnetospirillum_magneticum,3.179638842
455,70,Tepidimonas_charontis,2.250731145
456,70,Gudongella_oleilytica,3.234819222
457,70,Desulfomicrobium_baculatum,8.144518691
458,70,Parabacteroides_goldsteinii,12.92437579
459,70,Thermincola_ferriacetica,1.03589335
460,70,Dechloromonas_aromatica,0.948139785
461,70,Longilinea_sp.,1.096429538
462,70,Hydrogenophaga_aromaticivorans,2.933128526
463,70,Clostridium_fungisolvens,32.35382932
464,70,Geovibrio_thiophilus,23.81311949
465,71,Mariniplasma_anaerobium,1.171137313
466,71,Geobacter_metallireducens_strain_GS-15,0.669338947
467,71,Methanosarcina_acetivorans,1.366208289
468,71,Methanobacterium_formicicum,5.002721689
469,71,Magnetospirillum_magneticum,3.134560826
470,71,Tepidimonas_charontis,2.339994194
471,71,Gudongella_oleilytica,3.300401534
472,71,Desulfomicrobium_baculatum,8.149436119
473,71,Parabacteroides_goldsteinii,12.81899672
474,71,Thermincola_ferriacetica,1.02814717
475,71,Dechloromonas_aromatica,0.956918296
476,71,Longilinea_sp.,1.121222936
477,71,Hydrogenophaga_aromaticivorans,2.863828807
478,71,Clostridium_fungisolvens,32.46827939
479,71,Geovibrio_thiophilus,23.60880776
480,72,Mariniplasma_anaerobium,1.189927479
481,72,Geobacter_metallireducens_strain_GS-15,0.689596761
482,72,Methanosarcina_acetivorans,1.378433973
483,72,Methanobacterium_formicicum,5.07692784
484,72,Magnetospirillum_magneticum,3.090886466
485,72,Tepidimonas_charontis,2.433163924
486,72,Gudongella_oleilytica,3.367231873
487,72,Desulfomicrobium_baculatum,8.152922786
